Year,Country,Region,Ecosystem type,Units,Unit measure,Unit multiplier,GeoCode,Value
2011,England,South West,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,154825.0
2011,England,South West,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,114917.0
2011,England,South West,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,74.2238010657194
2015,England,South West,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,154825.0
2015,England,South West,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,114919.0
2015,England,South West,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,74.2250928467625
2019,England,South West,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000009,154825.0
2019,England,South West,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000009,115402.0
2019,England,South West,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000009,74.5370579686743
1999,England,West Midlands,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,7387.0
1999,England,West Midlands,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,7365.0
1999,England,West Midlands,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,99.702179504535
2003,England,West Midlands,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,7387.0
2003,England,West Midlands,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,7365.0
2003,England,West Midlands,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,99.702179504535
2007,England,West Midlands,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,7387.0
2007,England,West Midlands,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,7365.0
2007,England,West Midlands,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,99.702179504535
2011,England,West Midlands,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,7387.0
2011,England,West Midlands,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,7375.0
2011,England,West Midlands,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,99.8375524570191
2015,England,West Midlands,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,7387.0
2015,England,West Midlands,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,7375.0
2015,England,West Midlands,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,99.8375524570191
2019,England,West Midlands,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000005,7387.0
2019,England,West Midlands,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000005,7375.0
2019,England,West Midlands,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000005,99.8375524570191
1999,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,367266.0
1999,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,353708.0
1999,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,96.3083977280772
2003,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,367266.0
2003,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,353716.0
2003,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,96.3105759857978
2007,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,367266.0
2007,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,353720.0
2007,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,96.311665114658
2011,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,367266.0
2011,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,353720.0
2011,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,96.311665114658
2015,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,367266.0
2015,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,353720.0
